z_lookback,z_entry_short,z_entry_long,z_exit,z_stop,slope_lookback,max_hold_days,slope_confirmation,avg_return,median_return,avg_sharpe,median_sharpe,min_return,max_return,avg_max_dd,worst_dd,total_trades,avg_trades_per_window,avg_win_rate,pct_windows_profitable,n_windows
10,0.5,1.0,0.0,2.0,3,7,False,24.913194444444443,24.465,1.757064814814815,1.847,-98.91,135.92,-20.284259259259258,-197.88,6061,28.060185185185187,51.291666666666664,84.25925925925925,216
10,0.5,1.0,0.0,2.0,2,7,False,24.913194444444443,24.465,1.757064814814815,1.847,-98.91,135.92,-20.284259259259258,-197.88,6061,28.060185185185187,51.291666666666664,84.25925925925925,216
10,0.5,1.0,0.0,2.0,5,7,False,24.913194444444443,24.465,1.757064814814815,1.847,-98.91,135.92,-20.284259259259258,-197.88,6061,28.060185185185187,51.291666666666664,84.25925925925925,216
10,0.75,1.0,0.0,2.0,2,7,False,24.582824074074075,24.4,1.7505740740740743,1.81,-98.91,128.84,-20.309768518518517,-197.88,5756,26.64814814814815,50.579166666666666,84.72222222222221,216
10,0.75,1.0,0.0,2.0,5,7,False,24.582824074074075,24.4,1.7505740740740743,1.81,-98.91,128.84,-20.309768518518517,-197.88,5756,26.64814814814815,50.579166666666666,84.72222222222221,216
10,0.75,1.0,0.0,2.0,3,7,False,24.582824074074075,24.4,1.7505740740740743,1.81,-98.91,128.84,-20.309768518518517,-197.88,5756,26.64814814814815,50.579166666666666,84.72222222222221,216
10,0.5,1.5,0.0,2.0,2,7,False,24.484953703703702,23.025,1.7408148148148148,1.815,-97.08,127.07,-20.216574074074078,-196.26,5283,24.458333333333332,51.16203703703704,83.33333333333334,216
10,0.5,1.5,0.0,2.0,5,7,False,24.484953703703702,23.025,1.7408148148148148,1.815,-97.08,127.07,-20.216574074074078,-196.26,5283,24.458333333333332,51.16203703703704,83.33333333333334,216
10,0.5,1.5,0.0,2.0,3,7,False,24.484953703703702,23.025,1.7408148148148148,1.815,-97.08,127.07,-20.216574074074078,-196.26,5283,24.458333333333332,51.16203703703704,83.33333333333334,216
10,0.3,1.0,0.0,2.0,3,7,False,24.406481481481478,23.595,1.7281527777777779,1.8075,-98.35,136.13,-20.37388888888889,-197.88,6287,29.10648148148148,51.624537037037044,82.87037037037037,216
10,0.3,1.0,0.0,2.0,2,7,False,24.406481481481478,23.595,1.7281527777777779,1.8075,-98.35,136.13,-20.37388888888889,-197.88,6287,29.10648148148148,51.624537037037044,82.87037037037037,216
